ID,Country,Sector,Year,Revenue,growth rate,AI_Adoption_Rate,Automation_Level,Sector_Impact_Score,tech investment,Sector_Growth_Decline,Date,Last_Updated
0f13d7bd-50c4-4619-9c9d-795b334327d3,India,Healthcare,2011,421475.23,7.34,Low,High,1,55340.82,Decline,2022-08-05,2025-08-04 21:01:00
d935b0a0-dbbb-42ef-b2cb-5fa5fee00e2b,USA,Manufacturing,2014,187795.0,-1.29,Low,High,1,423426.35,Decline,2024-12-05,2025-08-04 21:01:00
7eb11bd0-e105-40eb-bed2-aab2c5c60012,USA,Manufacturing,2013,208555.93,3.03,Low,High,3,324387.64,Growth,,2025-08-04 21:01:00
a2d80233-c4f5-4acc-abb4-f317a4495155,Ireland,Manufacturing,2013,286003.95,-5.19,High,Low,1,114273.88,Growth,2020-12-02,2025-08-04 21:01:00
deb85d61-456d-487a-aa80-fb024f362df5,Canada,Manufacturing,2011,854195.39,-2.37,Low,High,3,195858.82,Growth,,2025-08-04 21:01:00
372dde63-4864-46e0-8951-0b0c615aca5d,USA,Finance,2022,487592.07,-5.77,Medium,High,2,324676.02,Decline,,2025-08-04 21:01:00
9b86e7c7-5568-4719-8f1b-18a972ec7433,USA,Healthcare,2018,342645.18,5.28,Low,High,1,63392.13,Decline,,2025-08-04 21:01:00
bb56e4c8-fd38-4cb3-a64a-2ac898c2f679,Germany,Healthcare,2019,554839.82,-8.5,Low,Low,1,260909.07,Decline,,2025-08-04 21:01:00
22ea7bf8-9d66-4630-8c15-79c062b2ebed,Ireland,Healthcare,2021,547164.15,1.56,High,Low,4,260909.07,Growth,,2025-08-04 21:01:00
4e732a2c-ae39-4729-a311-389e4bda39a7,India,Manufacturing,2019,336504.81,0.03,Low,Low,2,435993.36,Growth,,2025-08-04 21:01:00
76afd61b-b7d6-40c6-9b51-023fd4407589,Ireland,IT,2019,296802.36,5.02,Medium,Low,2,390914.85,Decline,,2025-08-04 21:01:00
a74b2c99-0e02-4f6f-98c5-ea126f5c043e,India,Retail,2010,435733.81,3.97,Low,High,1,462806.4,Growth,,2025-08-04 21:01:00
1b9f33c4-3791-4363-8824-af391fc326d4,Germany,Finance,2024,805167.48,-0.57,Low,Medium,4,462971.04,Decline,2024-12-03,2025-08-04 21:01:00
ed82522d-aec6-4ac6-84fc-055227734d8e,USA,Retail,2024,448968.28,-8.01,Low,High,1,292228.46,Decline,2023-06-10,2025-08-04 21:01:00
1e60118e-9cb1-4591-8181-8f82ab5c72c1,Ireland,Healthcare,2021,839790.69,4.4,Low,High,3,348550.11,Decline,2022-08-10,2025-08-04 21:01:00
4ce84181-621f-4e17-a15a-ecf391aab7f0,Canada,Healthcare,2023,612575.17,-9.62,Low,Low,3,259198.32,Decline,,2025-08-04 21:01:00
cdd00189-6b0d-46ca-a41c-ed56d277ee34,India,IT,2017,557635.3,4.11,High,Low,3,260909.07,Growth,2023-05-10,2025-08-04 21:01:00
595bea0b-5c41-4c4f-add0-8ee72a8a3199,Germany,Retail,2024,271890.3,4.38,Low,High,4,120297.62,Growth,,2025-08-04 21:01:00
4c8e95a8-1426-4cd4-a3bd-0faeecaaf14d,Ireland,Healthcare,2016,539327.22,4.94,Medium,Medium,4,134884.35,Growth,2020-09-06,2025-08-04 21:01:00
7b7ecadb-f58f-4302-b66b-26aeaa45a5a2,Ireland,Manufacturing,2011,278067.05,9.25,High,Low,4,150600.72,Growth,,2025-08-04 21:01:00
dc3e318b-090c-4d25-8b00-075b690c5d0f,Germany,Finance,2022,613063.19,-4.06,Low,Low,5,82752.61,Growth,2022-07-05,2025-08-04 21:01:00
4fb0d5db-629e-4d3d-92eb-09b978457c3a,Germany,Manufacturing,2020,375960.46,8.71,High,Low,4,349451.08,Decline,2021-06-11,2025-08-04 21:01:00
d27800ff-0aed-41b4-95bb-412dc823a69a,USA,Finance,2014,991749.91,4.57,Low,High,3,230766.53,Decline,2025-02-03,2025-08-04 21:01:00
7b6ba168-800b-48df-abfb-43de736c2593,USA,Manufacturing,2013,457270.29,-4.32,Low,High,1,204922.22,Growth,,2025-08-04 21:01:00
4dddd278-1828-4f9d-860a-4ef57d80b555,Ireland,Healthcare,2017,115476.2,8.54,Low,Medium,3,363863.55,Growth,,2025-08-04 21:01:00
37b93a66-c0ac-4bbd-9dfa-b3be87fadd5a,Canada,Finance,2016,579363.79,-4.12,Low,High,4,340515.42,Growth,,2025-08-04 21:01:00
fa19e73b-2ec5-4a9b-9f32-253133ae6077,Ireland,Retail,2013,492627.16,2.7,High,High,3,260909.07,Growth,,2025-08-04 21:01:00
8b354edd-e6c1-4051-af6e-897916cd5b48,Germany,Healthcare,2014,810013.63,5.34,High,High,4,127284.44,Growth,2021-08-01,2025-08-04 21:01:00
34e8981c-163a-409b-bd36-47f8f6daafc0,Germany,Manufacturing,2020,355127.99,-4.51,Low,Low,3,384148.66,Decline,,2025-08-04 21:01:00
6ad4afda-b411-4f98-8819-75f0a1aa56cc,Germany,Finance,2011,598073.32,0.51,Low,High,5,317162.79,Growth,,2025-08-04 21:01:00
ca9d4489-a418-4fc7-8654-75de139f34cc,Ireland,Healthcare,2011,464706.34,-3.62,Low,High,5,353515.47,Growth,2021-06-06,2025-08-04 21:01:00
06dac451-e138-4e78-ac50-f3982d75a1d1,USA,IT,2015,870557.44,2.96,High,High,5,419846.51,Growth,2020-05-12,2025-08-04 21:01:00
234bb2a6-ef92-4ef0-8cea-ff333e49e1c5,Canada,Retail,2020,608831.46,-2.88,Low,High,3,87505.71,Decline,2023-08-12,2025-08-04 21:01:00
f1e5318c-2a9f-4bb3-b60d-65aecba6835d,USA,Finance,2012,968428.3,7.68,Low,Low,2,457316.5,Growth,,2025-08-04 21:01:00
2e12833f-8537-4f43-b565-1c26cafa7939,USA,IT,2013,585176.8,-3.52,Low,High,4,258866.55,Decline,,2025-08-04 21:01:00
f6faf92e-9db6-417a-921a-55946db028db,Germany,Finance,2019,536855.74,4.88,Low,Medium,5,294664.34,Growth,2020-01-05,2025-08-04 21:01:00
c92c465e-d0c6-4280-adb4-8aabc6170664,Germany,Finance,2014,350006.18,4.22,High,Medium,1,220935.54,Decline,,2025-08-04 21:01:00
7daf32e3-27b0-4abe-b022-d635d497ee34,Germany,Healthcare,2017,512097.73,-0.64,Low,Medium,3,475717.89,Growth,2023-06-08,2025-08-04 21:01:00
1341efd3-81be-4788-bf95-ffab82d52916,USA,IT,2020,965699.69,-8.41,Low,Medium,4,214441.69,Growth,2023-04-04,2025-08-04 21:01:00
4d7456a0-e7c8-49c6-909e-382d8b07076c,USA,Retail,2011,909172.24,-5.36,Low,Low,2,260909.07,Growth,2023-07-08,2025-08-04 21:01:00
9b4de756-306e-4527-a0eb-79a193d296ab,Germany,Healthcare,2020,904224.81,3.89,Medium,Low,3,315271.91,Decline,,2025-08-04 21:01:00
f464e2b0-1073-4367-8d5d-2b0f72f51614,India,IT,2020,388869.36,-1.42,High,Low,2,402319.88,Growth,2024-10-05,2025-08-04 21:01:00
84d28509-ea21-4a5c-9672-5e4acbdc4a56,India,IT,2020,700708.32,-3.88,Medium,Medium,4,359889.83,Growth,,2025-08-04 21:01:00
c6566bca-6af4-4fa5-b059-99cdb4d2af65,India,Finance,2022,733957.73,0.19,Low,High,5,325056.15,Decline,2021-09-06,2025-08-04 21:01:00
b5b7a564-c19f-47cb-8489-ba5c3e17b656,India,Finance,2013,824618.33,-4.43,High,High,4,429887.52,Decline,,2025-08-04 21:01:00
46dbeca1-7b81-4da3-946f-6fbd392fff32,Canada,IT,2011,769097.61,2.35,Low,Medium,5,345989.74,Decline,2023-08-06,2025-08-04 21:01:00
dc0f004f-3f07-41d3-9e91-35826fd07b0e,Germany,Manufacturing,2018,617107.2,8.31,High,High,3,390685.08,Growth,2024-10-02,2025-08-04 21:01:00
a9a8b83a-c339-4e1d-a0a3-905a7ba83d30,Canada,IT,2018,863908.1,-5.89,High,High,2,388126.14,Decline,,2025-08-04 21:01:00
98f58da2-c415-43a9-9d09-20cdf755721d,USA,Manufacturing,2020,483782.59,0.83,High,High,1,298930.03,Decline,,2025-08-04 21:01:00
6781a68c-57d2-47a7-ba3f-b9646f92f802,India,Healthcare,2011,352894.85,6.45,Medium,Low,3,245914.36,Decline,2022-12-02,2025-08-04 21:01:00
