Country,Sector,Year,EducationLevel,Avg_PreAI,Avg_PostAI,Avg_Automation_Impact,Avg_AI_Role_Jobs,Avg_ReskillingPrograms,Avg_EconomicImpact,Avg_SectorGrowth
Canada,Agriculture,2010,High School,6.636153846,8.840769231,0.176153846,4920.153846,821.6153846,0.215384615,4.886153846
Canada,Agriculture,2010,PhD,6.592307692,5.398461538,0.358461538,3269.076923,746.6153846,0.325384615,3.805384615
Canada,Agriculture,2010,Unknown,8.115,6.752586207,0.306724138,2378.793103,534.8103448,0.272413793,2.899655172
Canada,Agriculture,2010,Bachelor,5.655,7.158125,0.3075,4568.3125,556.5625,0.204375,2.28
Canada,Agriculture,2010,Master,2.105714286,4.307142857,0.419285714,1843.857143,728.5714286,0.251428571,0.799285714
Canada,Agriculture,2011,Master,8.95,8.697777778,0.416666667,3696.111111,771.7777778,0.135555556,4.612222222
Canada,Agriculture,2011,PhD,6.584444444,5.34,0.242222222,2751.555556,391.8888889,0.164444444,3.925555556
Canada,Agriculture,2011,Bachelor,8.573,9.466,0.084,2076.1,724.2,0.155,2.976
Canada,Agriculture,2011,Unknown,3.792631579,6.562894737,0.380789474,2089.263158,577.6315789,0.203684211,2.477105263
Canada,Agriculture,2011,High School,6.098125,5.704375,0.27625,3360.0,448.0625,0.270625,3.00625
Canada,Agriculture,2012,Master,5.268,1.837,0.382,2157.0,978.8,0.414,0.99
Canada,Agriculture,2012,Bachelor,8.555833333,6.480833333,0.299166667,2638.083333,849.5,0.384166667,3.2775
Canada,Agriculture,2012,PhD,5.261,6.515,0.233,3638.9,695.4,0.218,5.318
Canada,Agriculture,2012,High School,9.445,7.289,0.13,3927.7,754.1,0.295,2.95
Canada,Agriculture,2012,Unknown,6.183809524,5.530714286,0.264047619,3118.285714,596.8571429,0.299285714,2.926190476
Canada,Agriculture,2013,Unknown,6.14825,5.80975,0.2605,3402.275,568.45,0.31525,3.6275
Canada,Agriculture,2013,PhD,8.194,10.926,0.2,2206.4,942.4,0.274,2.692
Canada,Agriculture,2013,Master,3.741111111,1.964444444,0.325555556,4658.666667,498.1111111,0.274444444,4.23
Canada,Agriculture,2013,High School,7.1675,5.771666667,0.224166667,3904.25,392.5,0.119166667,3.9275
Canada,Agriculture,2013,Bachelor,1.26,2.222,0.354,3642.6,285.7,0.288,1.907
Canada,Agriculture,2014,Bachelor,9.708888889,9.413333333,0.396666667,3222.333333,528.7777778,0.318888889,1.834444444
Canada,Agriculture,2014,High School,5.012307692,7.031538462,0.406153846,2295.0,548.9230769,0.224615385,1.176923077
Canada,Agriculture,2014,Master,5.605384615,5.883846154,0.049230769,2641.538462,1038.230769,0.136923077,0.514615385
Canada,Agriculture,2014,Unknown,5.729019608,8.312352941,0.297843137,2439.215686,856.1764706,0.236666667,1.69372549
Canada,Agriculture,2014,PhD,5.966470588,8.137058824,0.268823529,2095.764706,921.1176471,0.193529412,1.935882353
Canada,Agriculture,2015,Unknown,5.80027027,7.819459459,0.237027027,3496.054054,561.6486486,0.238648649,3.007297297
Canada,Agriculture,2015,Master,8.823333333,3.816666667,0.395833333,2056.583333,518.5,0.285833333,2.793333333
Canada,Agriculture,2015,PhD,7.625384615,2.771538462,0.267692308,3489.846154,429.5384615,0.270769231,1.895384615
Canada,Agriculture,2015,High School,7.431666667,7.513333333,0.251666667,4153.666667,932.6666667,0.0,3.221666667
Canada,Agriculture,2015,Bachelor,9.413333333,6.398333333,0.135,1714.0,392.8333333,0.261666667,2.455
Canada,Agriculture,2016,High School,10.20272727,6.561818182,0.217272727,2127.090909,641.9090909,0.201818182,2.807272727
Canada,Agriculture,2016,Unknown,7.675416667,5.837083333,0.285833333,2039.541667,849.4583333,0.197916667,3.45
Canada,Agriculture,2016,PhD,7.116363636,5.207272727,0.385454545,2827.727273,543.0,0.18,2.537272727
Canada,Agriculture,2016,Master,5.992142857,6.073571429,0.173571429,1762.714286,600.4285714,0.246428571,1.743571429
Canada,Agriculture,2016,Bachelor,3.41,6.267647059,0.197647059,3564.941176,367.8823529,0.534705882,1.512352941
Canada,Agriculture,2017,Master,4.591,6.363,0.276,3664.9,660.9,0.331,2.065
Canada,Agriculture,2017,Unknown,5.911428571,6.165428571,0.372285714,2963.257143,681.2571429,0.211428571,1.958
Canada,Agriculture,2017,High School,7.938,2.858,0.25,4144.2,1040.4,0.292,1.468
Canada,Agriculture,2017,Bachelor,6.479375,6.001875,0.33875,3405.75,652.6875,0.174375,2.43875
Canada,Agriculture,2017,PhD,3.4125,2.8525,0.22,2213.125,676.0,0.28875,3.09625
Canada,Agriculture,2018,Master,7.908,3.122,0.227,2299.6,555.1,0.112,2.752
Canada,Agriculture,2018,PhD,8.37375,6.3725,0.2125,2648.75,840.5,0.4325,2.34375
Canada,Agriculture,2018,High School,7.05875,7.43875,0.36875,4681.625,870.25,0.29375,4.02625
Canada,Agriculture,2018,Unknown,6.594761905,6.490714286,0.318809524,2679.785714,743.3809524,0.263095238,2.434761905
Canada,Agriculture,2018,Bachelor,6.245,4.54875,0.275,2686.375,368.25,0.0,3.79625
Canada,Agriculture,2019,PhD,7.41,4.708181818,0.358181818,1827.272727,857.3636364,0.388181818,3.312727273
Canada,Agriculture,2019,Master,6.892,4.348,0.396,2948.2,375.8,0.17,3.808
Canada,Agriculture,2019,Bachelor,6.618333333,7.404166667,0.425833333,5054.25,646.3333333,0.255,1.768333333
